notes,objectid,parentid,identifier,title,interviewee,lastname,firstname,interviewer,signed_release,duration,transcriber,creator,creation_date,date,description,object_transcript,subject,location,latitude,longitude,source,filename,type,format,language,rights,rightsstatement,fileid,youtubeid,collectionid,cdmid,display_template,object_location,image_small,image_thumb,object_thumb,reference_url
,otherfaces001,,,Callao Family,Callao,Callao,,,,,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"This interview discusses their family's immigration from the Phillipines to the United States, where they have lived, and how they came to Idaho. ",,,,,,,,record,compound_object,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,compound_object,,https://img.youtube.com/vi/KEqK18TZSNU/hqdefault.jpg,https://img.youtube.com/vi/KEqK18TZSNU/mqdefault.jpg,,
,otherfaces002,otherfaces001,MG390_T14_CallaoBoise_01,Callao Family Oral History Video Interview 1,Callao,Callao,,,yes,0:20:55,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t14_callaoboise_01_transcript_revised.md,armed forces; family life; immigration; Asian-American; communities (social groups); racial discrimination; communities (inhabited places); Filipino (language);,"Boise, Idaho",43.61414462,-116.2043794,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T14_CallaoBoise_01.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T14_CallaoBoise_01.mp4,YNXm-uuVAqw,,,video,https://youtu.be/YNXm-uuVAqw,https://img.youtube.com/vi/YNXm-uuVAqw/hqdefault.jpg,https://img.youtube.com/vi/YNXm-uuVAqw/mqdefault.jpg,,
,otherfaces003,otherfaces001,MG390_T15_CallaoBoise_02,Callao Family Oral History Video Interview 2,Callao,Callao,,,yes,0:21:38,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t15_callaoboise_02_transcript_revised.md,Filipino (culture); family life; Asian-American; communities (social groups); immigration; Filipino (language);,"Boise, Idaho",43.61414462,-116.2043794,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T15_CallaoBoise_02.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T15_CallaoBoise_02.mp4,54bgy9RnCaw,,,video,https://youtu.be/54bgy9RnCaw,https://img.youtube.com/vi/54bgy9RnCaw/hqdefault.jpg,https://img.youtube.com/vi/54bgy9RnCaw/mqdefault.jpg,,
,otherfaces004,otherfaces001,MG390_T16_CallaoBoise_03,Callao Family Oral History Video Interview 3,Callao,Callao,,,yes,0:07:53,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t16_callaoboise_03_transcript_revised.md,Filipino (culture); family life; Asian-American; communities (social groups); immigration; Filipino (language); education;,"Boise, Idaho",43.61414462,-116.2043794,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T16_CallaoBoise_03.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T16_CallaoBoise_03.mp4,KEqK18TZSNU,,,video,https://youtu.be/KEqK18TZSNU,https://img.youtube.com/vi/KEqK18TZSNU/hqdefault.jpg,https://img.youtube.com/vi/KEqK18TZSNU/mqdefault.jpg,,
,otherfaces005,,,Hayashida Family,Seichi Hayashida,Hayashida,Seichi,,,,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"Video interview of an interviewee talking about land ownership, life during the internment camps, life after the internment camps, temporary and permanent work permits, and the various camps that the interviewer was interned at. The interviewee uses the term 'relocation center'. This clip includes behind the scenes conversations. ",,,,,,,,record,compound_object,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,compound_object,,https://img.youtube.com/vi/ZmLumYfZIwY/hqdefault.jpg,https://img.youtube.com/vi/ZmLumYfZIwY/mqdefault.jpg,,
,otherfaces006,otherfaces005,mg390_t06_munetas_01,Seichi Hayashida Oral History Video Interview 1,Seichi Hayashida,Hayashida,Seichi,,yes,0:21:43,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t06_munetas_01_transcript_revised.md,concentration camps; farming (activity or system); businesses (business enterprises); Japanese-American; immigration; family life; bowling; racial discrimination;,"Nampa, Idaho",43.58009383,-116.5611768,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",mg390_t06_munetas_01.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg390_t06_munetas_01.mp4,nWhqZJJ7AcA,,,video,https://youtu.be/nWhqZJJ7AcA,https://img.youtube.com/vi/nWhqZJJ7AcA/hqdefault.jpg,https://img.youtube.com/vi/nWhqZJJ7AcA/mqdefault.jpg,,
,otherfaces007,otherfaces005,MG390_T07_Munetas_02,Seichi Hayashida Oral History Video Interview 2,Seichi Hayashida,Hayashida,Seichi,,yes,0:22:45,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t07_munetas_02_transcript_revised.md,farming (activity or system); concentration camps; Japanese-American; racial discrimination; clubs (associations); bowling; social identity; restitution; citizen participation;,"Nampa, Idaho",43.58009383,-116.5611768,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T07_Munetas_02.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T07_Munetas_02.mp4,BVOm_vEGTwQ,,,video,https://youtu.be/BVOm_vEGTwQ,https://img.youtube.com/vi/BVOm_vEGTwQ/hqdefault.jpg,https://img.youtube.com/vi/BVOm_vEGTwQ/mqdefault.jpg,,
,otherfaces008,otherfaces005,MG390_T08_Munetas_03,Seichi Hayashida Oral History Video Interview 3,Seichi Hayashida,Hayashida,Seichi,,yes,0:22:55,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t08_munetas_03_transcript_revised.md,family life; concentration camps; racial discrimination; communities (social groups); communities (inhabited places); farming (activity or system);,"Nampa, Idaho",43.58009383,-116.5611768,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T08_Munetas_03.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T08_Munetas_03.mp4,jvkwWIJiIzc,,,video,https://youtu.be/jvkwWIJiIzc,https://img.youtube.com/vi/jvkwWIJiIzc/hqdefault.jpg,https://img.youtube.com/vi/jvkwWIJiIzc/mqdefault.jpg,,
,otherfaces009,otherfaces005,MG390_T09_Munetas_04,Seichi Hayashida Oral History Video Interview 4,Seichi Hayashida,Hayashida,Seichi,,yes,0:19:36,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,,objects/mg390_t09_munetas_04_transcript_revised.md,family life; concentration camps; racial discrimination; farming (activity or system); Japanese-American;,"Nampa, Idaho",43.58009383,-116.5611768,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T09_Munetas_04.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T09_Munetas_04.mp4,ZmLumYfZIwY,,,video,https://youtu.be/ZmLumYfZIwY,https://img.youtube.com/vi/ZmLumYfZIwY/hqdefault.jpg,https://img.youtube.com/vi/ZmLumYfZIwY/mqdefault.jpg,,
,otherfaces010,,,Lew Family,,,,,,,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,"Video interview of a Chinese-American family in their home. They discuss family life, moving to the Palouse, racial discrimination, and their experiences as Chinese Americans in Moscow. Individual members of the family discuss their connection with Chinese culture and traveling to China.",,,,,,,,record,compound_object,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,compound_object,,https://img.youtube.com/vi/bfZzEt3SJeE/hqdefault.jpg,https://img.youtube.com/vi/bfZzEt3SJeE/mqdefault.jpg,,
