objectid,parentid,group_count,title,title-enhanced,creator,date,year,subject,description,county,location,latitude,longitude,filename,display_template,object_full,object_location,image_small,image_thumb
sanborn-aberdeen-1915-001,,1,Sanborn Fire Insurance Map from Aberdeen,,Sanborn Map Company,1915,1915,public school; mennonite church; methodist episcopal church; hotel; blacksmith; dwelling; carpenter; garage; auto; hardware fume and harness; lodge hall; tin shop; dance hall; opera house; office; lumber shed; lime and cement; coal; grain warehouse; wagon and agricultural implement warehouse; bank; cellar; general merchandise; ice house; barber and pool; millinery; livery; meat; drugs; roman catholic church; presbyterian church; grocery warehouse; hay and grain; merchandise warehouse; grocery and bakery; grocery and confectionary; freight warehouse,,Bingham,Aberdeen,42.94428931,-112.8387636,sanborn-aberdeen-1915-001.jpg,sanborn-map,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-aberdeen-1915-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-aberdeen-1915-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-aberdeen-1915-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-aberdeen-1915-001_th.jpg
aberdeen-1921,,,Sanborn Fire Insurance Map from Aberdeen 1921,,Sanborn Map Company,1921,1921,,,Bingham,Aberdeen,42.94415583,-112.8390144,,sanborn-compound,,,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-aberdeen-1921-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-aberdeen-1921-001_th.jpg
sanborn-aberdeen-1921-001,aberdeen-1921,4,Sanborn Fire Insurance Map from Aberdeen,,Sanborn Map Company,1921,1921,roman catholic church; dwelling; automobile; presbyterian church; flour and grain warehouse; storage shed; grain and potato warehouse; transfer and storage company; hotel; auto painting; corral; stock yard;,,Bingham,Aberdeen,42.94643307,-112.8371996,sanborn-aberdeen-1921-001.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-aberdeen-1921-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-aberdeen-1921-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-aberdeen-1921-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-aberdeen-1921-001_th.jpg
sanborn-aberdeen-1921-002,aberdeen-1921,4,Sanborn Fire Insurance Map from Aberdeen,,Sanborn Map Company,1921,1921,automobile; hardware furninshings and harness; lodge hall; tin shop; service garage; grain warehouse; office; lumber shed; lumber company; lime and cement; potato warehouse and cellar; granary; coal; grain company elevator; cellar; general merchandise; battery repairing; livery; ice house; grocery; drugs; confectionary and stationery; meat; kitchen; pool and barber; bank; printing; dwelling; post office; hardware; moving pictures; restaurant; freight warehouse; ticket office;,,Bingham,Aberdeen,42.94410001,-112.8387671,sanborn-aberdeen-1921-002.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-aberdeen-1921-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-aberdeen-1921-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-aberdeen-1921-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-aberdeen-1921-002_th.jpg
sanborn-aberdeen-1921-003,aberdeen-1921,4,Sanborn Fire Insurance Map from Aberdeen,,Sanborn Map Company,1921,1921,dwelling; automobile; blacksmith; hitching barn; classrooms; manual training; public school; auditorium; gymnasium;,,Bingham,Aberdeen,42.94518632,-112.8429802,sanborn-aberdeen-1921-003.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-aberdeen-1921-003.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-aberdeen-1921-003.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-aberdeen-1921-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-aberdeen-1921-003_th.jpg
sanborn-aberdeen-1921-004,aberdeen-1921,4,Sanborn Fire Insurance Map from Aberdeen,,Sanborn Map Company,1921,1921,mennonite church;,,Bingham,Aberdeen,,,sanborn-aberdeen-1921-004.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-aberdeen-1921-004.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-aberdeen-1921-004.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-aberdeen-1921-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-aberdeen-1921-004_th.jpg
sanborn-albion-1909-001,,1,Sanborn Fire Insurance Map from Albion,,Sanborn Map Company,1909,1909,,,Cassia,Albion,42.41270749,-113.5787083,sanborn-albion-1909-001.jpg,sanborn-map,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-albion-1909-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-albion-1909-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-albion-1909-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-albion-1909-001_th.jpg
albion-1928,,,Sanborn Fire Insurance Map from Albion 1928,,Sanborn Map Company,1928,1928,,,Cassia,Albion,,,,sanborn-compound,,,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-albion-1928-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-albion-1928-001_th.jpg
sanborn-albion-1928-001,albion-1928,3,Sanborn Fire Insurance Map from Albion,,Sanborn Map Company,1928,1928,,,Cassia,Albion,,,sanborn-albion-1928-001.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-albion-1928-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-albion-1928-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-albion-1928-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-albion-1928-001_th.jpg
sanborn-albion-1928-002,albion-1928,3,Sanborn Fire Insurance Map from Albion,,Sanborn Map Company,1928,1928,,,Cassia,Albion,,,sanborn-albion-1928-002.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-albion-1928-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-albion-1928-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-albion-1928-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-albion-1928-002_th.jpg
sanborn-albion-1928-003,albion-1928,3,Sanborn Fire Insurance Map from Albion,,Sanborn Map Company,1928,1928,,,Cassia,Albion,,,sanborn-albion-1928-003.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-albion-1928-003.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-albion-1928-003.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-albion-1928-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-albion-1928-003_th.jpg
american-falls-1907,,,Sanborn Fire Insurance Map from American Falls 1907,,Sanborn Map Company,1907,1907,,,Power,American Falls,42.78621742,-112.8549253,,sanborn-compound,,,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1907-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1907-001_th.jpg
sanborn-american-falls-1907-001,american-falls-1907,2,Sanborn Fire Insurance Map from American Falls,,Sanborn Map Company,1907,1907,,,Power,American Falls,,,sanborn-american-falls-1907-001.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-american-falls-1907-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-american-falls-1907-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1907-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1907-001_th.jpg
sanborn-american-falls-1907-002,american-falls-1907,2,Sanborn Fire Insurance Map from American Falls,,Sanborn Map Company,1907,1907,,,Power,American Falls,,,sanborn-american-falls-1907-002.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-american-falls-1907-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-american-falls-1907-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1907-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1907-002_th.jpg
american-falls-1911,,,Sanborn Fire Insurance Map from American Falls 1911,,Sanborn Map Company,1911,1911,,,Power,American Falls,42.78621742,-112.8549253,,sanborn-compound,,,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1911-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1911-001_th.jpg
sanborn-american-falls-1911-001,american-falls-1911,5,Sanborn Fire Insurance Map from American Falls,,Sanborn Map Company,1911,1911,,,Power,American Falls,,,sanborn-american-falls-1911-001.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-american-falls-1911-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-american-falls-1911-001.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1911-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1911-001_th.jpg
sanborn-american-falls-1911-002,american-falls-1911,5,Sanborn Fire Insurance Map from American Falls,,Sanborn Map Company,1911,1911,,,Power,American Falls,,,sanborn-american-falls-1911-002.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-american-falls-1911-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-american-falls-1911-002.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1911-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1911-002_th.jpg
sanborn-american-falls-1911-003,american-falls-1911,5,Sanborn Fire Insurance Map from American Falls,,Sanborn Map Company,1911,1911,,,Power,American Falls,,,sanborn-american-falls-1911-003.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-american-falls-1911-003.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-american-falls-1911-003.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1911-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1911-003_th.jpg
sanborn-american-falls-1911-004,american-falls-1911,5,Sanborn Fire Insurance Map from American Falls,,Sanborn Map Company,1911,1911,,,Power,American Falls,,,sanborn-american-falls-1911-004.jpg,sanborn-child,https://www.lib.uidaho.edu/digital/objects/sanborn/full/sanborn-american-falls-1911-004.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/sanborn-american-falls-1911-004.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/small/sanborn-american-falls-1911-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/sanborn/thumbs/sanborn-american-falls-1911-004_th.jpg
