objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
twrs622,,Regarding_Lewis_residence_at_Taylor_R.pdf,Pat Cary Peek Research Findings,Pat Cary Peek,Account,2007,,land use; ecology; public land,,,,,Regarding Lewis residence at Taylor R.,,,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/Regarding_Lewis_residence_at_Taylor_R.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/regarding_lewis_residence_at_taylor_r_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/regarding_lewis_residence_at_taylor_r_th.jpg
b08-payettenationalforestliterature59,,b08-PayetteNationalForestLiterature59.pdf,"The McCoy Family, The Le Van Family, and some of their associates in the Big Creek-Chamberlain backcountry","Preston, Peter",A collection of family histories and local stories in the Yellow Pine area.,2007-07,July 2007,families (kinship groups); family registers; genealogies (histories);local history,45.12779623,-115.3241079,,Taylor Ranch,b08-PayetteNationalForestLiterature59,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature59.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature59_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature59_th.jpg
b06-wildernessmanagement07,,b06-WildernessManagement07.pdf,"""Taking Care of What We've Got""",University of Idaho taylor wilderness research station,Collected schedule and papers from the First National Wilderness Management Workshop.,1983-10-11,11 October 1983,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement07,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement07.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement07_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement07_th.jpg
b06-wildernessmanagement08,,b06-WildernessManagement08.pdf,"""Taking Care of What We've Got"" Pamphlet",University of Idaho taylor wilderness research station,Printed pamphlet that contains the schedule for the First National Wilderness Management Workshop.,1983-10-11,11 October 1983,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement08,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement08.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement08_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement08_th.jpg
b08-payettenationalforestliterature17,,b08-PayetteNationalForestLiterature17.pdf,"""That Night, After the Moon Had Got Down...."" Lt. Catley's 1879 Affair on Vinegar Hill","Koeppen, Michael H.","Written by Michael Koeppen, this document details the Battle of Vinegar Hill and the rediscovering of the location. The battle was between Lieutenant Henry Catley's Second Mounted Infantry and the Sheepeater Indians.",2011-01,January 2011,local history; battles; artifacts (object genre); historic sites,45.15304797,-114.9418965,Heritage Program,Taylor Ranch,b08-PayetteNationalForestLiterature17,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature17.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature17_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature17_th.jpg
b10-064,,b10-064.pdf,"""We ascended a precipitous hill"": Soldier Bar and the Sheepeater War","Koeppen, Michael H.",Paper about the history of Soldier Bar as an important location during the 1879 Sheepeater War.,2011-02,February 2011,native americans; Shoshone; wars; military campaigns,45.10681427,-114.8006335,,Taylor Ranch,b10-064,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-064.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-064_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-064_th.jpg
b08-photos07,,b08-Photos07.pdf,1950s photo collection,Gayle,"A collection of photos from the Payette National Forest. Photos of Jess Taylor Ranch, Taylor Ranch Footbridge, Dave Lewis Ranch, Taylor Loading Field, and an add for a saw set.",1950,1950,local history; meat saws; ranch houses (rural houses),45.11071751,-115.770047,,Taylor Ranch,b08-Photos07,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,photographs,photographs,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-Photos07.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-photos07_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-photos07_th.jpg
b10-103,,b10-103.pdf,"1983 Excavations At 10-Vy-31 River Of No Return Wilderness Area, Idaho","Leonhardy, Frank C.;Thomas, Fred","A paper explaining the methodology and findings of an archaeological excavation at 10-Vy-31 in the River Of No Return Wilderness Area, Idaho.",1984-06-15,15 June 1984,native americans; archaeological sites; wilderness areas; site location; site investigation,45.100223,-114.844394,"Letter Report 84-25 Laboratory of Anthropology, University of Idaho",,b10-103,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-103.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-103_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-103_th.jpg
b06-wildernessrecreation07,,b06-WildernessRecreation07.pdf,1987-88 Idaho Rifle Deer Hunting Study Executive Summary,"Sanyal, Nick;McLaughlin, William J.;Tynon, Joanne F.;Tangen-Foster, Jim;Allen, Stewart;Harris, Charles C.",A summary of key findings from a mail questionnaire administered in 1988-89 to general season license holders who purchased a deer tag in 1987.,1989-10,October 1989,land use; ecology; public land,,,,Taylor Ranch,b06-WildernessRecreation07,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessRecreation07.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessrecreation07_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessrecreation07_th.jpg
b06-wildernessrecreation10,,b06-WildernessRecreation10.pdf,1987-88 Idaho Shotgun Hunting Study Executive Summary,"Sanyal, Nick;McLaughlin, William J.;Tynon, Joanne F.;Tangen-Foster, Jim;Allen, Stewart;Harris, Charles C.","A summary of key findings from a mail questionnaire administered in 1988-89 to general season license holders who did not purchase a deer or elk tag, but did purchase a waterfowl stamp or upland game permit in 1987.",1989-10,October 1989,land use; ecology; public land,,,,Taylor Ranch,b06-WildernessRecreation10,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessRecreation10.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessrecreation10_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessrecreation10_th.jpg
